time_step,simulated_timestamp,UDI,Product ID,actual_machine_failure,xgboost_probability,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,selected_threshold,risk_status,risk_rolling_mean,risk_center_line,risk_ucl,risk_lcl,risk_beyond_control_limit,spc_risk_alert,torque_rolling_mean,torque_center_line,torque_ucl,torque_lcl,torque_beyond_control_limit
19,2026-06-01 08:18:00,93,M14952,0,0.0034761042,M,298.9,308.9,1727,27.1,37,0,0.86,Normal,0.024134834860696605,0.0484173446893692,0.44078411161899567,0.0,False,False,41.17368421052631,39.57697084698982,68.07734305908238,11.076598634897266,False
20,2026-06-01 08:19:00,98,M14957,0,0.0039152214,M,298.9,308.9,1750,29.9,50,0,0.86,Normal,0.023123854189179838,0.0484173446893692,0.44078411161899567,0.0,False,False,40.61,39.57697084698982,68.07734305908238,11.076598634897266,False
21,2026-06-01 08:20:00,102,L47281,0,0.010059152,L,298.8,308.8,1991,20.7,59,0,0.86,Normal,0.022501725503908738,0.0484173446893692,0.44078411161899567,0.0,False,False,39.66190476190476,39.57697084698982,68.07734305908238,11.076598634897266,False
22,2026-06-01 08:21:00,109,H29522,0,0.0037904363,H,298.9,308.8,1621,32.7,75,0,0.86,Normal,0.02165121235884726,0.0484173446893692,0.44078411161899567,0.0,False,False,39.345454545454544,39.57697084698982,68.07734305908238,11.076598634897266,False
23,2026-06-01 08:22:00,120,L47299,0,0.0037497024,L,298.7,308.5,1467,40.7,106,0,0.86,Normal,0.02087288583709818,0.0484173446893692,0.44078411161899567,0.0,False,False,39.404347826086955,39.57697084698982,68.07734305908238,11.076598634897266,False
24,2026-06-01 08:23:00,121,L47300,0,0.010792445,L,298.9,308.7,1433,44.7,108,0,0.86,Normal,0.020452867485194776,0.0484173446893692,0.44078411161899567,0.0,False,False,39.625,39.57697084698982,68.07734305908238,11.076598634897266,False
25,2026-06-01 08:24:00,129,L47308,0,0.0053171385,L,299.0,308.6,1587,38.6,124,0,0.86,Normal,0.019847438326105474,0.0484173446893692,0.44078411161899567,0.0,False,False,39.584,39.57697084698982,68.07734305908238,11.076598634897266,False
26,2026-06-01 08:25:00,130,L47309,0,0.0054306276,L,298.9,308.5,1559,34.3,126,0,0.86,Normal,0.0192929456064191,0.0484173446893692,0.44078411161899567,0.0,False,False,39.38076923076923,39.57697084698982,68.07734305908238,11.076598634897266,False
27,2026-06-01 08:26:00,132,L47311,0,0.006622215,L,298.8,308.4,1737,27.7,130,0,0.86,Normal,0.01882365928031504,0.0484173446893692,0.44078411161899567,0.0,False,False,38.94814814814814,39.57697084698982,68.07734305908238,11.076598634897266,False
28,2026-06-01 08:27:00,133,M14992,0,0.010673336,M,298.7,308.4,1441,43.2,132,0,0.86,Normal,0.018532576297210262,0.0484173446893692,0.44078411161899567,0.0,False,False,39.1,39.57697084698982,68.07734305908238,11.076598634897266,False
29,2026-06-01 08:28:00,134,M14993,0,0.013773843,M,298.7,308.4,1430,49.6,135,0,0.86,Normal,0.018368482035745322,0.0484173446893692,0.44078411161899567,0.0,False,False,39.46206896551725,39.57697084698982,68.07734305908238,11.076598634897266,False
30,2026-06-01 08:29:00,137,H29550,0,0.021662148,H,298.7,308.5,1420,45.7,143,0,0.86,Normal,0.018478270891743403,0.0484173446893692,0.44078411161899567,0.0,False,False,39.669999999999995,39.57697084698982,68.07734305908238,11.076598634897266,False
31,2026-06-01 08:30:00,141,L47320,0,0.012233448,L,298.8,308.6,1511,36.1,157,0,0.86,Normal,0.01827682499893971,0.0484173446893692,0.44078411161899567,0.0,False,False,39.55483870967742,39.57697084698982,68.07734305908238,11.076598634897266,False
32,2026-06-01 08:31:00,144,H29557,0,0.015493781,H,298.6,308.4,1407,50.5,164,0,0.86,Normal,0.018189854883530643,0.0484173446893692,0.44078411161899567,0.0,False,False,39.896875,39.57697084698982,68.07734305908238,11.076598634897266,False
33,2026-06-01 08:32:00,149,M15008,0,0.012068228,M,298.3,308.3,1379,48.0,181,0,0.86,Normal,0.018004351034478255,0.0484173446893692,0.44078411161899567,0.0,False,False,40.14242424242424,39.57697084698982,68.07734305908238,11.076598634897266,False
34,2026-06-01 08:33:00,157,M15016,0,0.10537371,M,298.4,308.1,1495,46.0,203,0,0.86,Normal,0.020574038074461416,0.0484173446893692,0.44078411161899567,0.0,False,False,40.31470588235294,39.57697084698982,68.07734305908238,11.076598634897266,False
35,2026-06-01 08:34:00,158,H29571,0,0.12804773,H,298.4,308.2,1478,43.5,206,0,0.86,Normal,0.02364471511516188,0.0484173446893692,0.44078411161899567,0.0,False,False,40.40571428571429,39.57697084698982,68.07734305908238,11.076598634897266,False
36,2026-06-01 08:35:00,164,M15023,0,0.0031026793,M,298.4,308.2,1468,43.8,2,0,0.86,Normal,0.023074103008386575,0.0484173446893692,0.44078411161899567,0.0,False,False,40.5,39.57697084698982,68.07734305908238,11.076598634897266,False
37,2026-06-01 08:36:00,167,H29580,0,0.0026653504,H,298.4,308.2,1612,32.6,10,0,0.86,Normal,0.02252251510130795,0.0484173446893692,0.44078411161899567,0.0,False,False,40.28648648648648,39.57697084698982,68.07734305908238,11.076598634897266,False
38,2026-06-01 08:37:00,197,H29610,0,0.014114741,H,298.3,308.6,1432,49.5,91,0,0.86,Normal,0.022301257894325414,0.0484173446893692,0.44078411161899567,0.0,False,False,40.52894736842105,39.57697084698982,68.07734305908238,11.076598634897266,False
39,2026-06-01 08:38:00,198,M15057,0,0.0045515657,M,298.4,308.6,1527,40.9,96,0,0.86,Normal,0.021846137582682647,0.0484173446893692,0.44078411161899567,0.0,False,False,40.53846153846154,39.57697084698982,68.07734305908238,11.076598634897266,False
40,2026-06-01 08:39:00,205,L47384,0,0.003401028,L,298.4,308.5,1741,32.8,112,0,0.86,Normal,0.021385009842924775,0.0484173446893692,0.44078411161899567,0.0,False,False,40.345,39.57697084698982,68.07734305908238,11.076598634897266,False
41,2026-06-01 08:40:00,211,L47390,0,0.0043525123,L,298.4,308.7,1523,36.1,126,0,0.86,Normal,0.02096958307367636,0.0484173446893692,0.44078411161899567,0.0,False,False,40.24146341463415,39.57697084698982,68.07734305908238,11.076598634897266,False
42,2026-06-01 08:41:00,215,M15074,0,0.0034915428,M,298.3,308.6,1589,37.1,137,0,0.86,Normal,0.020553439256868193,0.0484173446893692,0.44078411161899567,0.0,False,False,40.166666666666664,39.57697084698982,68.07734305908238,11.076598634897266,False
43,2026-06-01 08:42:00,216,L47395,0,0.004178647,L,298.3,308.6,1548,40.3,140,0,0.86,Normal,0.02017263013349716,0.0484173446893692,0.44078411161899567,0.0,False,False,40.169767441860465,39.57697084698982,68.07734305908238,11.076598634897266,False
44,2026-06-01 08:43:00,222,H29635,0,0.007328656,H,298.4,308.5,1827,24.3,153,0,0.86,Normal,0.019880721631290562,0.0484173446893692,0.44078411161899567,0.0,False,False,39.809090909090905,39.57697084698982,68.07734305908238,11.076598634897266,False
45,2026-06-01 08:44:00,233,L47412,0,0.027704796,L,298.2,308.4,1424,47.6,179,0,0.86,Normal,0.020054589946650797,0.0484173446893692,0.44078411161899567,0.0,False,False,39.98222222222223,39.57697084698982,68.07734305908238,11.076598634897266,False
46,2026-06-01 08:45:00,234,L47413,0,0.0071835816,L,298.2,308.4,1512,34.9,181,0,0.86,Normal,0.01977478541717257,0.0484173446893692,0.44078411161899567,0.0,False,False,39.87173913043478,39.57697084698982,68.07734305908238,11.076598634897266,False
47,2026-06-01 08:46:00,241,M15100,0,0.055165388,M,298.0,308.1,1339,51.6,197,0,0.86,Normal,0.020527776954893735,0.0484173446893692,0.44078411161899567,0.0,False,False,40.12127659574468,39.57697084698982,68.07734305908238,11.076598634897266,False
48,2026-06-01 08:47:00,243,L47422,1,0.9056552,L,298.0,308.2,1348,58.8,202,1,0.86,High Risk,0.03896793171103733,0.0484173446893692,0.44078411161899567,0.0,True,True,40.510416666666664,39.57697084698982,68.07734305908238,11.076598634897266,False
49,2026-06-01 08:48:00,245,M15104,0,0.1163979,M,298.0,308.2,1395,49.1,206,0,0.86,Normal,0.040548135193863084,0.0484173446893692,0.44078411161899567,0.0,False,False,40.68571428571428,39.57697084698982,68.07734305908238,11.076598634897266,False
50,2026-06-01 08:49:00,249,L47428,1,0.97800326,L,298.0,308.3,1362,56.8,216,1,0.86,High Risk,0.059297237759456035,0.0484173446893692,0.44078411161899567,0.0,True,True,41.008,39.57697084698982,68.07734305908238,11.076598634897266,False
51,2026-06-01 08:50:00,250,L47429,1,0.9840552,L,298.0,308.3,1405,56.2,218,1,0.86,High Risk,0.07881317497231066,0.0484173446893692,0.44078411161899567,0.0,True,True,41.206,39.57697084698982,68.07734305908238,11.076598634897266,False
52,2026-06-01 08:51:00,262,L47441,0,0.0019491888,L,298.1,308.2,1654,32.1,25,0,0.86,Normal,0.07877563825342804,0.0484173446893692,0.44078411161899567,0.0,False,False,41.048,39.57697084698982,68.07734305908238,11.076598634897266,False
53,2026-06-01 08:52:00,268,L47447,0,0.0037599318,L,297.9,308.0,1954,21.1,42,0,0.86,Normal,0.07874744470696897,0.0484173446893692,0.44078411161899567,0.0,False,False,40.632,39.57697084698982,68.07734305908238,11.076598634897266,False
54,2026-06-01 08:53:00,273,L47452,0,0.0034840119,L,298.1,308.1,1484,40.4,59,0,0.86,Normal,0.07876665989402681,0.0484173446893692,0.44078411161899567,0.0,False,False,40.88,39.57697084698982,68.07734305908238,11.076598634897266,False
55,2026-06-01 08:54:00,275,L47454,0,0.0042567635,L,298.1,308.0,1652,28.5,63,0,0.86,Normal,0.07864903711248189,0.0484173446893692,0.44078411161899567,0.0,False,False,40.564,39.57697084698982,68.07734305908238,11.076598634897266,False
56,2026-06-01 08:55:00,282,L47461,0,0.0038368807,L,298.1,308.0,1626,36.5,83,0,0.86,Normal,0.07865941087715328,0.0484173446893692,0.44078411161899567,0.0,False,False,40.694,39.57697084698982,68.07734305908238,11.076598634897266,False
57,2026-06-01 08:56:00,284,L47463,0,0.003378839,L,298.2,308.2,1469,43.0,88,0,0.86,Normal,0.07837917920667678,0.0484173446893692,0.44078411161899567,0.0,False,False,40.7,39.57697084698982,68.07734305908238,11.076598634897266,False
58,2026-06-01 08:57:00,288,L47467,0,0.0026132255,L,298.2,308.3,1805,31.6,96,0,0.86,Normal,0.07795032564084976,0.0484173446893692,0.44078411161899567,0.0,False,False,40.436,39.57697084698982,68.07734305908238,11.076598634897266,False
59,2026-06-01 08:58:00,290,L47469,0,0.01221553,L,298.1,308.4,1436,46.7,103,0,0.86,Normal,0.07808574838098138,0.0484173446893692,0.44078411161899567,0.0,False,False,40.878,39.57697084698982,68.07734305908238,11.076598634897266,False
60,2026-06-01 08:59:00,294,H29707,0,0.016100798,H,298.1,308.5,1392,44.8,111,0,0.86,Normal,0.07806899887975305,0.0484173446893692,0.44078411161899567,0.0,False,False,40.802,39.57697084698982,68.07734305908238,11.076598634897266,False
61,2026-06-01 09:00:00,307,L47486,0,0.0096337395,L,297.8,308.4,1374,47.1,150,0,0.86,Normal,0.07793111107777805,0.0484173446893692,0.44078411161899567,0.0,False,False,40.73,39.57697084698982,68.07734305908238,11.076598634897266,False
62,2026-06-01 09:01:00,314,L47493,0,0.0083089,L,298.0,308.6,1313,50.8,170,0,0.86,Normal,0.07785507011692971,0.0484173446893692,0.44078411161899567,0.0,False,False,40.764,39.57697084698982,68.07734305908238,11.076598634897266,False
63,2026-06-01 09:02:00,315,M15174,0,0.0051121404,M,297.9,308.5,1300,53.0,172,0,0.86,Normal,0.07769535339903086,0.0484173446893692,0.44078411161899567,0.0,False,False,41.01,39.57697084698982,68.07734305908238,11.076598634897266,False
64,2026-06-01 09:03:00,319,L47498,0,0.009176036,L,297.8,308.4,1512,39.9,181,0,0.86,Normal,0.07763766927178949,0.0484173446893692,0.44078411161899567,0.0,False,False,40.96,39.57697084698982,68.07734305908238,11.076598634897266,False
65,2026-06-01 09:04:00,324,L47503,0,0.017227367,L,297.8,308.5,1561,46.3,194,0,0.86,Normal,0.0776841247593984,0.0484173446893692,0.44078411161899567,0.0,False,False,41.122,39.57697084698982,68.07734305908238,11.076598634897266,False
66,2026-06-01 09:05:00,328,L47507,1,0.9408361,L,297.7,308.5,1373,56.7,203,1,0.86,High Risk,0.09565123287495225,0.0484173446893692,0.44078411161899567,0.0,True,True,41.354,39.57697084698982,68.07734305908238,11.076598634897266,False
67,2026-06-01 09:06:00,331,M15190,0,0.07418299,M,297.6,308.4,1398,41.9,215,0,0.86,Normal,0.0927589320903644,0.0484173446893692,0.44078411161899567,0.0,False,False,41.23400000000001,39.57697084698982,68.07734305908238,11.076598634897266,False
68,2026-06-01 09:07:00,343,L47522,0,0.005740095,L,297.4,308.2,1471,46.5,25,0,0.86,Normal,0.09231287711765618,0.0484173446893692,0.44078411161899567,0.0,False,False,41.166000000000004,39.57697084698982,68.07734305908238,11.076598634897266,False
69,2026-06-01 09:08:00,352,M15211,0,0.0025881615,M,297.6,308.4,1611,31.0,48,0,0.86,Normal,0.0922951182629913,0.0484173446893692,0.44078411161899567,0.0,False,False,41.24400000000001,39.57697084698982,68.07734305908238,11.076598634897266,False
70,2026-06-01 09:09:00,355,L47534,0,0.0031779094,L,297.6,308.3,1658,34.3,59,0,0.86,Normal,0.09228037202265113,0.0484173446893692,0.44078411161899567,0.0,False,False,41.332,39.57697084698982,68.07734305908238,11.076598634897266,False
71,2026-06-01 09:10:00,359,M15218,0,0.0027397706,M,297.6,308.3,1467,36.7,68,0,0.86,Normal,0.0921339843980968,0.0484173446893692,0.44078411161899567,0.0,False,False,41.652,39.57697084698982,68.07734305908238,11.076598634897266,False
72,2026-06-01 09:11:00,366,L47545,0,0.032331508,L,297.6,308.4,1353,57.5,88,0,0.86,Normal,0.09270480582490563,0.0484173446893692,0.44078411161899567,0.0,False,False,42.148,39.57697084698982,68.07734305908238,11.076598634897266,False
73,2026-06-01 09:12:00,376,L47555,0,0.0037280775,L,297.4,308.2,1533,37.4,115,0,0.86,Normal,0.0927043733280152,0.0484173446893692,0.44078411161899567,0.0,False,False,42.082,39.57697084698982,68.07734305908238,11.076598634897266,False
74,2026-06-01 09:13:00,378,M15237,0,0.018767215,M,297.4,308.2,1424,53.9,120,0,0.86,Normal,0.09286386872641743,0.0484173446893692,0.44078411161899567,0.0,False,False,42.266000000000005,39.57697084698982,68.07734305908238,11.076598634897266,False
75,2026-06-01 09:14:00,381,L47560,1,0.8191589,L,297.5,308.3,2564,12.8,127,1,0.86,Normal,0.10914070419035853,0.0484173446893692,0.44078411161899567,0.0,True,True,41.75,39.57697084698982,68.07734305908238,11.076598634897266,False
76,2026-06-01 09:15:00,387,L47566,0,0.007848957,L,297.6,308.7,1319,50.9,141,0,0.86,Normal,0.109189070770517,0.0484173446893692,0.44078411161899567,0.0,False,False,42.082,39.57697084698982,68.07734305908238,11.076598634897266,False
77,2026-06-01 09:16:00,389,L47568,0,0.012245202,L,297.6,308.7,1455,48.2,145,0,0.86,Normal,0.10930153052322567,0.0484173446893692,0.44078411161899567,0.0,False,False,42.492,39.57697084698982,68.07734305908238,11.076598634897266,False
78,2026-06-01 09:17:00,399,H29812,0,0.0069852388,H,297.4,308.3,1502,43.6,169,0,0.86,Normal,0.10922776858322322,0.0484173446893692,0.44078411161899567,0.0,False,False,42.5,39.57697084698982,68.07734305908238,11.076598634897266,False
79,2026-06-01 09:18:00,405,L47584,0,0.014219826,L,297.3,308.6,1297,45.9,184,0,0.86,Normal,0.1092366882506758,0.0484173446893692,0.44078411161899567,0.0,False,False,42.425999999999995,39.57697084698982,68.07734305908238,11.076598634897266,False
80,2026-06-01 09:19:00,406,L47585,0,0.3242189,L,297.3,308.5,1350,57.6,186,0,0.86,Normal,0.11528782327659429,0.0484173446893692,0.44078411161899567,0.0,False,False,42.66400000000001,39.57697084698982,68.07734305908238,11.076598634897266,False
81,2026-06-01 09:20:00,410,L47589,0,0.007620885,L,297.4,308.6,1459,41.3,196,0,0.86,Normal,0.11519557201303542,0.0484173446893692,0.44078411161899567,0.0,False,False,42.768,39.57697084698982,68.07734305908238,11.076598634897266,False
82,2026-06-01 09:21:00,418,L47597,0,0.6554846,L,297.4,308.4,1394,50.1,213,0,0.86,Normal,0.12799538872204722,0.0484173446893692,0.44078411161899567,0.0,True,True,42.76,39.57697084698982,68.07734305908238,11.076598634897266,False
83,2026-06-01 09:22:00,419,L47598,0,0.0028793104,L,297.4,308.4,2151,17.7,0,0,0.86,Normal,0.12781161037273706,0.0484173446893692,0.44078411161899567,0.0,False,False,42.154,39.57697084698982,68.07734305908238,11.076598634897266,False
84,2026-06-01 09:23:00,421,M15280,0,0.0062857517,M,297.3,308.3,1301,39.6,5,0,0.86,Normal,0.12582985119894147,0.0484173446893692,0.44078411161899567,0.0,False,False,42.026,39.57697084698982,68.07734305908238,11.076598634897266,False
85,2026-06-01 09:24:00,427,L47606,0,0.0064267875,L,297.4,308.5,1501,44.9,20,0,0.86,Normal,0.12339743225835263,0.0484173446893692,0.44078411161899567,0.0,False,False,42.054,39.57697084698982,68.07734305908238,11.076598634897266,False
86,2026-06-01 09:25:00,432,L47611,0,0.0057193465,L,297.5,308.5,1446,41.9,32,0,0.86,Normal,0.12344976560212671,0.0484173446893692,0.44078411161899567,0.0,False,False,42.016000000000005,39.57697084698982,68.07734305908238,11.076598634897266,False
87,2026-06-01 09:26:00,434,M15293,0,0.0019845983,M,297.6,308.5,1848,23.7,37,0,0.86,Normal,0.12343615056015551,0.0484173446893692,0.44078411161899567,0.0,False,False,41.838,39.57697084698982,68.07734305908238,11.076598634897266,False
88,2026-06-01 09:27:00,460,L47639,0,0.0037313942,L,297.4,308.6,1476,42.3,107,0,0.86,Normal,0.1232284836191684,0.0484173446893692,0.44078411161899567,0.0,False,False,41.694,39.57697084698982,68.07734305908238,11.076598634897266,False
89,2026-06-01 09:28:00,471,H29884,0,0.0044653076,H,297.3,308.8,1499,44.2,134,0,0.86,Normal,0.12322675845585764,0.0484173446893692,0.44078411161899567,0.0,False,False,41.76,39.57697084698982,68.07734305908238,11.076598634897266,False
90,2026-06-01 09:29:00,475,L47654,0,0.011967039,L,297.4,309.1,1478,49.8,150,0,0.86,Normal,0.12339807867072522,0.0484173446893692,0.44078411161899567,0.0,False,False,42.1,39.57697084698982,68.07734305908238,11.076598634897266,False
91,2026-06-01 09:30:00,483,L47662,0,0.007269822,L,297.3,309.0,1548,37.4,171,0,0.86,Normal,0.12345642486587166,0.0484173446893692,0.44078411161899567,0.0,False,False,42.126,39.57697084698982,68.07734305908238,11.076598634897266,False
92,2026-06-01 09:31:00,498,L47677,0,0.32534415,L,297.4,309.0,1505,39.2,209,0,0.86,Normal,0.1298934769164771,0.0484173446893692,0.44078411161899567,0.0,False,False,42.168,39.57697084698982,68.07734305908238,11.076598634897266,False
93,2026-06-01 09:32:00,505,M15364,0,0.0031226822,M,297.6,309.3,1529,41.9,3,0,0.86,Normal,0.12987235762178898,0.0484173446893692,0.44078411161899567,0.0,False,False,42.2,39.57697084698982,68.07734305908238,11.076598634897266,False
94,2026-06-01 09:33:00,519,L47698,0,0.0054044877,L,297.6,309.5,1924,20.6,37,0,0.86,Normal,0.12983387425541879,0.0484173446893692,0.44078411161899567,0.0,False,False,42.126000000000005,39.57697084698982,68.07734305908238,11.076598634897266,False
95,2026-06-01 09:34:00,521,L47700,0,0.003490295,L,297.6,309.5,1617,36.2,42,0,0.86,Normal,0.12934958423953502,0.0484173446893692,0.44078411161899567,0.0,False,False,41.898,39.57697084698982,68.07734305908238,11.076598634897266,False
96,2026-06-01 09:35:00,529,M15388,0,0.006388312,M,297.5,309.5,1553,42.4,60,0,0.86,Normal,0.12933367885183544,0.0484173446893692,0.44078411161899567,0.0,False,False,42.048,39.57697084698982,68.07734305908238,11.076598634897266,False
97,2026-06-01 09:36:00,531,M15390,0,0.0048519187,M,297.6,309.5,1709,32.2,65,0,0.86,Normal,0.12832740947138518,0.0484173446893692,0.44078411161899567,0.0,False,False,41.66,39.57697084698982,68.07734305908238,11.076598634897266,False
98,2026-06-01 09:37:00,540,M15399,0,0.00340634,M,297.4,309.3,1775,25.8,91,0,0.86,Normal,0.11028243216685951,0.0484173446893692,0.44078411161899567,0.0,False,False,41.0,39.57697084698982,68.07734305908238,11.076598634897266,False
99,2026-06-01 09:38:00,542,L47721,0,0.009298251,L,297.4,309.4,1296,52.3,96,0,0.86,Normal,0.10814043913967908,0.0484173446893692,0.44078411161899567,0.0,False,False,41.06400000000001,39.57697084698982,68.07734305908238,11.076598634897266,False
100,2026-06-01 09:39:00,543,L47722,0,0.0033918698,L,297.5,309.4,1803,24.7,98,0,0.86,Normal,0.08864821126684547,0.0484173446893692,0.44078411161899567,0.0,False,False,40.422,39.57697084698982,68.07734305908238,11.076598634897266,False
101,2026-06-01 09:40:00,546,L47725,0,0.005323048,L,297.6,309.4,1958,22.1,108,0,0.86,Normal,0.06907356780953705,0.0484173446893692,0.44078411161899567,0.0,False,False,39.74,39.57697084698982,68.07734305908238,11.076598634897266,False
102,2026-06-01 09:41:00,553,M15412,0,0.0040014978,M,297.4,309.3,1622,35.0,123,0,0.86,Normal,0.06911461398936808,0.0484173446893692,0.44078411161899567,0.0,False,False,39.797999999999995,39.57697084698982,68.07734305908238,11.076598634897266,False
103,2026-06-01 09:42:00,554,M15413,0,0.004768755,M,297.4,309.3,1564,36.0,126,0,0.86,Normal,0.06913479045033455,0.0484173446893692,0.44078411161899567,0.0,False,False,40.096,39.57697084698982,68.07734305908238,11.076598634897266,False
104,2026-06-01 09:43:00,556,M15415,0,0.0047103707,M,297.4,309.4,1539,42.2,134,0,0.86,Normal,0.06915931762661785,0.0484173446893692,0.44078411161899567,0.0,False,False,40.132,39.57697084698982,68.07734305908238,11.076598634897266,False
105,2026-06-01 09:44:00,562,M15421,0,0.014172806,M,297.5,309.4,1678,34.4,148,0,0.86,Normal,0.06935763848479837,0.0484173446893692,0.44078411161899567,0.0,False,False,40.25,39.57697084698982,68.07734305908238,11.076598634897266,False
106,2026-06-01 09:45:00,569,L47748,0,0.012723715,L,297.8,309.7,1935,22.1,171,0,0.86,Normal,0.06953537517227232,0.0484173446893692,0.44078411161899567,0.0,False,False,39.961999999999996,39.57697084698982,68.07734305908238,11.076598634897266,False
107,2026-06-01 09:46:00,573,L47752,0,0.035589363,L,297.8,309.9,1351,49.0,181,0,0.86,Normal,0.07017958566080779,0.0484173446893692,0.44078411161899567,0.0,False,False,40.082,39.57697084698982,68.07734305908238,11.076598634897266,False
108,2026-06-01 09:47:00,576,M15435,0,0.039855495,M,297.9,309.9,1410,55.4,188,0,0.86,Normal,0.07092443105299026,0.0484173446893692,0.44078411161899567,0.0,False,False,40.558,39.57697084698982,68.07734305908238,11.076598634897266,False
